label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,8867,3,355.1953,2.051617,0.8440652,,,,,0,0,355.1953,16998.7,36247.02,35088.27
,0,8868,3,244.0592,14.13742,0.8482935,,,,,0,0,244.0592,55894.17,45596.42,35955.36
,0,8869,3,263.8942,1.941695,0.843794,,,,,0,0,263.8942,41916.97,24930.26,46566.05
,0,8870,3,461.1818,4.045811,0.776937,,,,,0,0,461.1818,11986.61,22475.26,13911.31
,0,8871,2,96.97633,12.95709,0.5961127,,,,,0,0,96.97633,40680.31,45695.67,36145.59
,0,8872,3,215.0562,6.932373,0.6817842,,,,,0,0,215.0562,78536.97,69327.87,71014.69
,0,8873,3,473.2027,3.985684,0.8392574,,,,,0,0,473.2027,25733.83,41065.1,23835.87
,0,8874,3,473.2029,2.739845,0.7775601,,,,,0,0,473.2029,51996.61,45960.36,49347.07
,0,8875,3,88.04944,12.78076,0.8068991,,,,,0,0,88.04944,34180.78,58644.71,49256.36
,0,8876,3,246.1348,4.017228,0.7360861,,,,,0,0,246.1348,41022.08,64127.44,50216.53
,0,8877,2,580.1001,2.472017,0.8181489,,,,,0,0,580.1001,34939.58,23910.57,26246.22
,0,8878,3,182.9967,11.05901,0.8508685,,,,,0,0,182.9967,36409.65,52505.79,55510.05
,0,8879,2,182.9967,11.26246,0.7618566,,,,,0,0,182.9967,4445.223,4936.882,3207.477
,0,8880,3,96.92651,13.73565,0.8235268,,,,,0,0,96.92651,36268.78,39603.16,48940.55
,0,8881,3,480.326,2.6319,0.8472613,,,,,0,0,480.326,34467.26,34075.5,35246.87
,0,8882,3,439.2856,2.449972,0.8436888,,,,,0,0,439.2856,32838.01,44742.38,40740.81
,0,8883,3,452.9199,13.39845,0.8471645,,,,,0,0,452.9199,42621.11,54645.02,51890.19
,0,8884,3,223.1705,2.390167,0.8413491,,,,,0,0,223.1705,33121.95,46904.29,30242.21
,0,8885,3,223.1705,3.991995,0.8246625,,,,,0,0,223.1705,16187.47,25571.81,16164.05
,0,8886,2,223.1705,2.205372,0.7789323,,,,,0,0,223.1705,11624.14,11112.34,10678.91
,0,8887,2,277.8422,13.77952,0.8461298,,,,,0,0,277.8422,19741.72,38217.74,31056.91
,0,8888,2,337.0455,11.79241,0.5581633,,,,,0,0,337.0455,24727.7,31762.02,42432.08
,0,8889,2,96.8428,13.71685,0.8213968,,,,,0,0,96.8428,30414.88,20089.21,9605.77
,0,8890,2,220.179,2.412228,0.8017479,,,,,0,0,220.179,34388.84,25250.37,28552.19
,0,8891,3,547.1248,2.237178,0.7088814,,,,,0,0,547.1248,32805.14,32060.1,17608.95
,0,8892,3,217.181,2.644528,0.8465487,,,,,0,0,217.181,29186.76,44608.36,35304.52
